Terence Yin,0,0
Veronica Ferres,0,0
Judith Hill,0,0
Sylvester Stallone,0,2115573
Chia-Liang Liu,-1,-1
Shelley Waggener,0,0
Mary Catherine Garrison,0,0
Jerry Brown,199381,1108499
Kristen Johnston,0,0
Theresa Randle,0,0
Darryl Cox,0,0
Jimmy Jean-Louis,-1,-1
Samira Wiley,0,0
Ron Maxwell,0,0
Karin Dor,0,0
Jamison Stalsworth,0,0
Tatyana Ali,0,0
Lily James,0,0
Derek Luke,0,0
Kevin Rankin,0,0
Nancy Kyes,0,0
Patrick Kilpatrick,0,0
Stuart Hazeldine,0,0
Johnny Lewis,0,0
Richard Glatzer,0,0
Spring Byington,0,0
Kenneth Mitchell,0,0
Molly Bernstein,0,0
Dami,0,0
Olivia Newton-John,-1,-1
Erik Estrada,0,0
Al Pacino,0,0
Felicia Pearson,0,0
Matt McCoy,0,0
Siu,0,0
Dick Richards,0,0
Damon Albarn,0,0
David Proval,0,0
Amy Poehler,0,0
Devid Striesow,0,0
Leighton Meester,1908994,1943841
Katie Leclerc,0,0
Steven E,0,0
Diana Vickers,0,0
Jennifer Butler,0,0
Sim,0,0
Roger Allam,0,0
Nandita Das,0,0
Graham McTavish,0,0
Cal Brunker,0,0
Vincente Minnelli,0,0
Stephen J,0,0
Karra Elejalde,0,0
Sarain Boylan,0,0
Juan Fernández,-1,-1
E,0,0
Roman Polanski,0,0
Dennis L,0,0
Tom Guiry,0,0
Johnny Lever,0,0
Charles Grodin,0,0
Victor Zinck Jr.,-1,-1
Mark Pellington,0,0
Andrea Arnold,0,0
CCH Pounder,0,0
Jim Varney,0,0
Annie Golden,0,0
Jenny McCarthy,0,0
Gnana Rajasekaran,0,0
Pece Dingo,0,0
Gabriela Castillo,0,0
Nicole Beharie,0,0
Stephen McCole,0,0
Gabriel Bateman,0,0
Sofia Vassilieva,0,0
Ming-Na Wen,-1,-1
Kyle Balda,0,0
Enrique Murciano,0,0
Tony Doupe,0,0
Vanessa Zima,0,0
Paul T,0,0
Joan Allen,0,0
Gustaf Skarsg,0,0
Dave Legeno,0,0
Mercedes Mor,0,0
Feroz Abbas Khan,0,0
Malone Thomas,0,0
Crystal R,0,0
Nick Robinson,0,6206
Joe Dinicol,0,0
Bex Taylor,0,0
Jake Scott,0,0
Mike Bigelow,0,0
Holly Hunter,0,0
Kimberly Elise,0,0
