Title,imdbID,Actor1,Actor2,Actors-3,Director,Actor1_Rev,Actor2_Rev,Year,YT_Count,YT_Likes,YT_Dislike,IMDBVotes,imdbRating,Budget,Revenue,Rated,Released,Genre,,
The Green Hornet,tt0990407,Seth Rogen, Jay Chou, Cameron Diaz,Michel Gondry,27098853,28153150,2011,2462548,2872,266,139199,5.8,120000000,229155503,PG-13,14-Jan-11,Action, Comedy, Crime
The Smurfs,tt0472181,Hank Azaria, Neil Patrick Harris, Jayma Mays,Raja Gosnell,37852357,95871895,2011,7422667,16805,1828,69009,5.5,110000000,563749323,PG,29-Jul-11,Animation, Adventure, Comedy
Real Steel,tt0433035,Hugh Jackman, Dakota Goyo, Evangeline Lilly,Shawn Levy,87210690,85401234,2011,13798422,498008,5311,262755,7.1,110000000,263880341,PG-13,7-Oct-11,Action, Drama, Family
The Smurfs 2,tt2017020,Hank Azaria, Neil Patrick Harris, Brendan Gleeson,Raja Gosnell,37852357,95871895,2013,5365069,6040,835,28772,5.4,105000000,71017784,PG,31-Jul-13,Animation, Adventure, Comedy
Enders Game,tt1731141,Asa Butterfield, Harrison Ford, Hailee Steinfeld,Gavin Hood,33948403,184932277,2013,11123221,27322,2268,192606,6.7,110000000,61656849,PG-13,1-Nov-13,Action, Sci-Fi,
Live Free or Die Hard,tt0337978,Bruce Willis, Timothy Olyphant, Justin Long,Len Wiseman,55956848,42696218,2007,350893,352,23,344636,7.2,110000000,382288147,PG-13,27-Jun-07,Action, Adventure, Thriller
The Lord of the Rings: The Fellowship of the Ring,tt0120737,Alan Howard, Noel Appleby, Sean Astin,Peter Jackson,106773471,202861432,2001,2295174,6223,155,1303095,8.8,93000000,887210985,PG-13,19-Dec-01,Adventure, Drama, Fantasy
Ali,tt0248667,Will Smith, Jamie Foxx, Jon Voight,Michael Mann,218238397,133746607,2001,12138733,90057,2415,81585,6.8,107000000,87683966,R,25-Dec-01,Biography, Drama, Sport
The Cat in the Hat,tt0312528,Mike Myers, Alec Baldwin, Kelly Preston,Bo Welch,119637182,5792276,2003,1312708,22069,279,37907,3.8,109000000,133818283,PG,21-Nov-03,Adventure, Comedy, Family
Kingdom of Heaven,tt0320661,Martin Hancock, Michael Sheen, Nathalie Cox,Ridley Scott,5269023,38133609,2005,1389096,1909,92,225333,7.2,130000000,218853353,R,6-May-05,Action, Adventure, Drama
Gone in Sixty Seconds,tt0187078,Nicolas Cage, Giovanni Ribisi, Angelina Jolie,Dominic Sena,5023915,197862206,2000,938118,713,60,225289,6.5,90000000,100978700,PG-13,9-Jun-00,Action, Crime, Thriller
Gladiator,tt0172495,Russell Crowe, Joaquin Phoenix, Connie Nielsen,Ridley Scott,120967406,60754126,2000,899311,1430,78,1038730,8.5,103000000,8205703,R,5-May-00,Action, Adventure, Drama
Minority Report,tt0181689,Tom Cruise, Max von Sydow, Steve Harris,Steven Spielberg,183502020,170731996,2002,417357,549,31,415973,7.7,102000000,358824714,PG-13,21-Jun-02,Action, Mystery, Sci-Fi
Harry Potter and the Chamber of Secrets,tt0295297,Daniel Radcliffe, Rupert Grint, Emma Watson,Chris Columbus,15580079,6168920,2002,450860,1456,22,414552,7.4,100000000,878979634,PG,15-Nov-02,Adventure, Family, Fantasy
Planet of the Apes,tt0133152,Mark Wahlberg, Tim Roth, Helena Bonham Carter,Tim Burton,144799396,17114323,2001,20679908,137589,4566,183087,5.7,100000000,362211740,PG-13,27-Jul-01,Action, Adventure, Sci-Fi
