Matthew Macfadyen,34953170
George Clooney,104329638
Gary Oldman,152878928
Colm Feore,26905
Denzel Washington,106585059
Jonathan Pryce,4646016
Scott Glenn,77508927
Petr Ratimec,52649819
John Goodman,112889565
Dev Patel,90863543
Diego Klattenhoff,37958538
David Spade,9205243
Billy Bob Thornton,44397438
Patrick Stewart,7558994
Jason Alexander,50126
Julio Oscar Mechoso,1356980
John Turturro,84708677
Aziz Ansari,29926250
Levi Miller,16315388
Jackie Chan,54210376
Jon Voight,56198494
Jeffrey Wright,72418822
Jean-Marc Bory,41119334
Ron Perlman,99171609
Robert Redford,64271764
Liam Hemsworth,113821249
Jay Chou,28153150
Dan Fogler,116290774
Christian Bale,217742101
Chris Evans,332441346
Steve Valentine,3909360
Tom McGrath,163306314
Miguel Ferrer,26669066
Tim Roth,17114323
Shia LaBeouf,188565799
Giovanni Ribisi,197862206
Chris Pine,100914781
Josh Lucas,25580641
Jude Law,56830970
Chris Miller,266744817
Roscoe Lee Browne,18753850
Blake Anderson,17887206
Alan Howard,106773471
Ken Watanabe,203191039
Igal Naor,7428978
Jim Parsons,11007263
Christopher Eccleston,79088550
Neil Patrick Harris,95871895
Tim Allen,15245929
Carlinhos Brown,97503961
Ed Speleers,14689258
Ed Helms,17053291
Jack Black,18400291
Joel Edgerton,62176645
Andy Serkis,356876604
Rupert Grint,6168920
Kevin Costner,112100478
Vin Diesel,108476005
Christian Stolte,2576
Edward Norton,81475107
Danny DeVito,21060320
Sacha Baron Cohen,41647529
Tim Robbins,2913989
Nicolas Cage,5023915
Tyler Hoechlin,15560713
Jamie Kennedy,1245983
Nicholas Hoult,45923434
Bruce Willis,55956848
Ty Burrell,75991495
Ray Anthony,92941240
Ryan Potter,414464
Jake T. Austin,31776126
Jeremy Renner,292860121
Anthony Hopkins,102097638
Benjamin Walker,19688698
Theo James,51940986
Martin Lawrence,65098309
John C. Reilly,58356831
Jack Hawkins,213893
Lombardo Boyar,44202228
John Mills,15536918
F. Murray Abraham,12131586
Alan Cumming,6044154
Tate Donovan,29402685
Leonardo DiCaprio,220027943
Patrick Dempsey,101566392
Sylvester Stallone,53918831
Garry Shandling,115046022
William H. Macy,18294194
Daniel Day-Lewis,41016147
Jesse Eisenberg,107530576
Joseph Gordon-Levitt,152842629
Kevin Bacon,10716632
Morgan Freeman,78297584
Daniel Radcliffe,15580079
Freddie Prinze Jr.,891801
Dougray Scott,6451401
Christoph Waltz,178248658
Richard Griffiths,131615799
Bruno Campos,36172181
Eric Bana,103691716
David Bedella,48034
Tom Hardy,131643068
Andy Samberg,13158901
Haley Joel Osment,4284689
Paul Walker,54654188
Jamie Foxx,133746607
Jason Fricchione,393946907
Peter Stebbings,13336966
Gary Sinise,49073571
Ben Kingsley,84635231
Cuba Gooding Jr.,9373570
Rory J. Saper,87783079
Jaden Smith,114287529
Ashton Kutcher,45187447
Will Arnett,116056753
Asa Butterfield,33948403
Jason Patric,3023286
Danny Glover,10535299
Shawn Driscoll,21898337
Pablo Schreiber,626666
John Travolta,58368048
Charlie Rowe,69155427
Vince Vaughn,60879424
Jeff Goldblum,48718288
Billy Crystal,99925140
Dan Aykroyd,75627836
Dakota Goyo,85401234
Chris Sanders,94071933
Mykelti Williamson,10048753
Robert De Niro,64962645
Adam Sandler,68354637
Jason Clarke,105108661
Max von Sydow,170731996
Max Records,30319359
Noah Ringer,213142587
Seth Rogen,27098853
