Fever Pitch,Scott Severance
Frozen,Santino Fontana
Shooter,"Kate Mara,Elias Koteas"
Resident Evil: Apocalypse,Sophie Vavasseur
Lucy,Julian Rhind-Tutt
Hocus Pocus,Thora Birch
The Quiet,Shawn Ashmore
The Other Woman,Kate Upton
Zodiac,Brian Cox
The Gunman,Mark Rylance
A Million Ways to Die in the West,Giovanni Ribisi
The Purge: Anarchy,"Zach Gilford,Kiele Sanchez"
Bernie,Richard Robichaux
For Your Eyes Only,Julian Glover
Next Friday,Don 'D.C.' Curry
Sling Blade,Lucas Black
The Road to El Dorado,Edward James Olmos
Fort McCoy,Camryn Manheim
The Chronicles of Narnia: Prince Caspian,Anna Popplewell
Half Nelson,Tyra Kwao-Vovo
Bullet to the Head,Jason Momoa
Transcendence,Kate Mara
Radio Flyer,Joseph Mazzello
Garfield,Evan Arnold
In Time,Colin McGurk
Edward Scissorhands,Kathy Baker
Terminator Salvation,Anton Yelchin
Anaconda,Jonathan Hyde
Inkheart,Paul Bettany
Kiss Kiss Bang Bang,Dash Mihok
Goosebumps,"Ryan Lee,Amy Ryan"
The Messenger,Yaya DaCosta
Just Visiting,Tara Reid
Galaxy Quest,Sam Rockwell
Underworld Awakening,India Eisley
Cutthroat Island,Patrick Malahide
Executive Decision,Oliver Platt
The Chronicles of Riddick,Karl Urban
The Way of the Gun,Nicky Katt
Snow White and the Huntsman,Sam Spruell
Set It Off,John C. McGinley
Rabbit-Proof Fence,Ningali Lawford
Beerfest,"Erik Stolhanske,Cloris Leachman"
The Replacement Killers,"Michael Rooker,Kenneth Tsang"
Twister,Philip Seymour Hoffman
Drive Angry,David Morse
The Glass House,"Bruce Dern,Kathy Baker"
John Q,Daniel E. Smith
Jack Ryan: Shadow Recruit,Lenn Kudrjawizki
Basquiat,David Bowie
Big,Jared Rushton
The New Guy,Parry Shen
Harry Potter and the Prisoner of Azkaban,Harry Melling
The Remains of the Day,Caroline Hunt
Dead Poets Society,Gale Hansen
Being John Malkovich,Madison Lanc
Unforgiven,Jaimz Woolvett
Takers,Idris Elba
Snitch,"Susan Sarandon,Michael Kenneth Williams"
The Manchurian Candidate,Jose Pablo Cantillo
The Island,"Sean Bean,Steve Buscemi"
Open Road,Christiane Torloni
The Day the Earth Stood Still,"Jaden Smith,John Cleese"
Death Becomes Her,Ian Ogilvy
Al midan,Buthayna Kamel
Exorcist: The Beginning,"Remy Sweeney,Julian Wadham"
One Night with the King,John Rhys-Davies
Attack the Block,Franz Drameh
Where the Heart Is,James Frain
Fast Times at Ridgemont High,Brian Backer
Io sono l'amore,Pippo Delbono
