Actor1_Rev,Actor2_Rev,YT_Count,YT_Dislike,IMDBVotes,Revenue
54654188,206572580,4998775,882,199784,127083765
101324047,0,5293506,644,38336,90905178
0,372774112,5897593,1014,66435,40147042
0,50126,179755,39,17092,411840
76396265,70717192,27528144,3738,108628,875958308
180397435,2185152,134472,22,145310,179265204
122063724,0,36847449,9852,299894,368049635
218238397,38090519,25927663,5883,446449,151462
48718288,0,1118567,91,292702,618638999
0,19261972,3009473,421,280756,556559566
12837432,12198011,2009025,171,378859,69845011
87210690,7558994,77225143,21568,472863,156164829
19626708,78297584,1945772,176,310022,134294280
180397435,5289101,512358,55,267545,336069511
95320782,42994657,434954,29,203780,651899282
68354637,0,3251727,147,276658,120776832
58368048,0,826175,71,101907,203035572
23121740,8583690,665493,119,37905,97387965
107530576,224670158,21708813,2207,483146,351723989
68354637,85090007,8809679,1302,188587,272223430
57619771,0,637997,50,319644,218673959
0,31776126,207134,12,16935,122213085
20572249,0,193464,15,50951,213500000
57619771,0,1021996,74,91879,66636385
218238397,64962645,1722592,123,138230,371917043
133746607,0,426333,11,58514,155708695
58368048,0,1334210,113,60642,94944017
103691716,372774112,518934,35,182043,131492772
55956848,0,247595,4,97044,85632458
45187447,0,2333422,216,75438,47000485
134307331,63207483,12881649,1112,197986,38140180
68354637,0,1124859,68,67431,54344321
0,3541611,963466,42,76088,141267370
55956848,44397438,90817,15,58222,71523271
180397435,13130548,13977478,8786,57408,127361412
0,45727149,479059,49,31844,39251128
134307331,29035001,31292491,5068,142054,211562435
55956848,6031975,205966,12,95883,77636443
184932277,45718,84268,4,32056,50409753
53252595,10025604,2220656,230,45289,14623082
57219513,0,89857,13,14696,5409517
10621434,206572580,181348,17,46549,34009180
55956848,49706392,2810918,151,261747,248099143
0,91610255,79513986,15576,156540,1167245366
5289101,49073571,64368,1,65875,103891409
31359653,0,328720,18,85054,50168294
28434237,49525607,43012854,17043,53611,349334510
136558130,0,135201,4,61705,70158206
68354637,27098853,2503228,241,102750,71880305
133746607,30730250,2548663,3203,104359,86509602
33190637,58595841,221480,2,136192,162870525
117777459,0,157206,19,35038,111484392
27642642,11211638,1115308,56,776743,209045647
37667610,7798816,3379280,797,148085,96947540
19974174,0,2351875,341,266175,527071022
36465685,20670719,220686,19,46168,37306334
53918831,0,238640,18,34989,54616869
873419,327859,6045471,930,12256,62176754
0,60754126,232482,13,200707,257641634
117777459,31926327,242257,35,77200,9000000
49068174,60754126,2540172,792,283260,408269295
119637182,117777459,2586481,278,329478,436471036
