Actor1_Rev,Actor2_Rev,Year,YT_Count,YT_Likes,YT_Dislike,IMDBVotes,imdbRating,Budget,Revenue,Rated
18400291,31359653,2008,25317356,91622,4259,325149,7.6,130000000,631910531,2
98867410,27872684,2015,21762191,70314,4688,358276,7.3,130000000,138002223,3
0,113821249,2013,47471262,265470,6242,517990,7.6,130000000,864868047,3
0,97349759,2012,48485592,113136,14945,192601,5.5,120000000,292298923,3
11007263,0,2015,26692394,58005,4783,75959,6.7,135000000,157801252,2
183502020,0,2005,734606,2474,272,348802,6.5,132000000,606836535,3
65098309,218238397,2003,714065,463,25,184869,6.6,130000000,273271982,4
20112518,0,2011,6604317,10401,519,118869,6.7,130000000,554987477,2
0,16417213,2010,8458930,9967,566,254026,6.4,110000000,290650494,3
101365680,0,2014,22242113,57452,5874,207144,5.8,125000000,352831065,3
107910331,356876604,2011,2599549,3409,303,182707,7.4,135000000,373993951,2
15580079,131615799,2004,1389911,3635,141,408744,7.8,130000000,796688549,2
43020396,2756172,2008,5627869,30953,946,105180,6.6,130000000,215080810,3
114287529,218238397,2013,18186413,41639,3450,164997,4.9,130000000,251499665,3
2747572,0,2000,18160194,43703,3191,40088,6.5,127500000,356148063,2
41032053,0,2014,6045953,20303,597,0,0,127000000,356546621,0
33190637,85343206,2010,1867614,2684,142,182100,7.3,130000000,321887208,2
48674648,0,2001,4946329,28069,921,478743,7.5,125000000,317557891,2
101324047,161180668,2013,6289395,25330,1210,95826,5.6,130000000,33500000,3
104642616,152387163,2003,965913,3139,82,849484,8,140000000,634954103,3
0,132569239,2014,37040810,189767,4578,326810,6.7,125000000,295457212,3
57619771,0,2006,854871,825,93,333691,6.6,125000000,767820459,3
31776126,97503961,2014,6011708,15439,1289,61921,6.4,103000000,113691800,1
7558994,87210690,2003,20099473,129254,7529,422356,7.5,110000000,214813155,3
108476005,54654188,2011,8222330,8212,360,294510,7.3,125000000,629969804,3
362607942,56830970,2011,1291568,4597,116,352014,7.5,125000000,535663443,3
38715291,5982169,2010,179279,274,21,235875,5.8,125000000,163100000,3
62940472,0,1990,4212176,7363,833,250129,7.5,65000000,211856088,4
292860121,77508927,2012,16930299,44168,1603,241885,6.7,125000000,280355920,3
36465685,0,2000,2404309,830,80,151245,6,123000000,259011600,2
10621434,37667610,2004,1253686,2415,104,346410,6.4,125000000,556319450,3
183502020,6451401,2000,667377,170,15,253333,6.1,125000000,397501348,3
104329638,144799396,2000,466034,421,41,136569,6.4,140000000,328711434,3
43478283,0,2007,1223954,1541,91,218926,5.6,130000000,131766943,2
129466294,146505290,2012,1892802,6511,357,463028,7.9,120000000,607987022,2
16354308,0,2007,1945992,4820,228,188869,5.2,110000000,229545589,3
136623867,88956281,2016,15238543,51757,2288,143037,6.7,120000000,416197059,3
0,32026982,2012,29851769,40749,2273,471419,7,130000000,402448265,4
23360326,0,2002,729631,90,21,38554,5.4,120000000,64736114,2
136623867,0,2013,19207912,35394,1863,353519,6.6,115000000,286192091,4
108476005,26905,2004,7437392,27534,1292,189204,6.7,105000000,107212751,3
29286354,0,2014,6673117,25494,2239,189327,7.5,100000000,242981799,4
23474862,17398094,2008,511730,1408,157,59401,6.1,120000000,93394462,2
0,98867410,2010,3420548,6296,206,36156,5.4,120000000,49628177,3
183502020,0,2010,2512721,3737,145,153484,6.3,117000000,258751370,3
183502020,78297584,2013,6774007,15533,818,403921,7,120000000,287916633,3
152579280,0,2002,1273595,2330,158,491896,6.7,115000000,307900000,2
112889565,99925140,2001,8810526,3871,798,625952,8.1,115000000,34034168,1
87210690,0,2013,19450885,136265,3296,349671,6.7,120000000,416456852,3
